PREFERRED_ABBRV|PREFERRED_FULL|PREFERRED_NLMID|PREFERRED_ISSN_PRINT|PREFERRED_ISSN_ONLINE|START_YEAR|END_YEAR|FULL_TRAIL_LENGTH|FULL_TRAIL
Rev Asoc Columb Med Vet|Revista. Asociacion Colombiana de Medicos Veterinarios|0002545|||1943|195u|0|
Rev Asoc Medica Mex|Revista. Asociacion Medica Mexicana|0002552|||1925|19uu|0|
Bol Vet|Boletin veterinario|0002662|||1943|1946|0|
Bombay Hosp J|The Bombay Hospital journal|0002702|0524-0182||1959|uuuu|0|
Bengal Public Healh J|The Bengal public health journal|0003102|0365-9852||1939|19uu|0|
Berl Munch Tierarztl Wochenschr|Berliner und Munchener tierarztliche Wochenschrift|0003163|0005-9366||1938|uuuu|0|
Proc. Biol. Soc. Wash.|Proceedings. Biological Society of Washington|0003340|0006-324X||1880|uuuu|0|
Bull. Biol. Soc. Wash.|Bulletin of the Biological Society of Washington|0003341|0097-0298|1943-6335|1918|2009|0|
Biomed Instrum|Bio-Medical instrumentation|0003354|||1964|1964|0|
Birth Defects Orig Artic Ser|Birth defects original article series|0003403|0547-6844||1965|1996|0|
Protein Alter Erythroc Low Temp|Protein alterations in erythrocytes at low temperatures. Bjorksten Research Foundation|0003423|||1963|uuuu|0|
Br J Dermatol|The British journal of dermatology|0004041|0007-0963|1365-2133|1917|1950|1|Br J Dermatol Syph (9716393) -Continued by-> Br J Dermatol (0004041)
Br J Math Stat Psychol|The British journal of mathematical and statistical psychology|0004047|0007-1102|2044-8317|1965|uuuu|0|
An Hosp Alvear B Aires|Anales. Hospital Torcuato de Alvear, Buenos Aires. Ateneo de Patologia y Clinica Medica|0004254|||1935|1935|0|
Bull Epizoot Dis Afr|Bulletin of epizootic diseases of Africa. Bulletin des epizooties en Afrique|0004333|0007-487X||1953|1974|0|
Bull Pract Ophthalmol|Bulletin of practical ophthalmology|0004343|||1931|1948|0|
Cah Sociol Demogr Med|Cahiers de sociologie et de demographie medicales|0004455|0007-9995||1961|uuuu|0|
Can Vet J|The Canadian veterinary journal. La revue veterinaire canadienne|0004653|0008-5286||1960|uuuu|0|
Cardiovasc Nurs|Cardio-vascular nursing|0004704|0008-6355||1965|1996|0|
Cr Trav Lab Carlsberg Ser Physiol|Comptes rendus des travaux du Laboratoire Carlsberg. Serie physiologique|0004706|||1934|1957|0|
Cas Lek Cesk|Casopis lekaru ceskych|0004743|0008-7335||1862|uuuu|0|
Cesk Oftalmol|Ceskoslovenska oftalmologie|0005023|0009-059X||1933|1994|0|
Chem Br|Chemistry in Britain|0005130|0009-3106||1965|2003|0|
Chin Med J|Chinese medical journal|0005256|1002-0187||1932|1966|0|
Zhonghua Bing Li Xue Za Zhi|Zhonghua bing li xue za zhi Chinese journal of pathology|0005331|0529-5807||1955|uuuu|0|
Bol Col Med La Habana (La Habana)|Boletin. Colegio Medico de la Habana|0005610|||1938|1950|0|
Community Ment Health J|Community mental health journal|0005735|0010-3853|1573-2789|1965|uuuu|0|
Contrib Sens Physiol|Contributions to sensory physiology|0006021|0069-9705||1965|1984|0|
Croat Chem Acta|Croatica chemica acta. Arhiv za kemiju|0006226|0011-1643||1956|uuuu|0|
Cruz Roja Cuba|Cruz Roja Cubana|0006250|||1937|19uu|0|
Cryobiology|Cryobiology|0006252|0011-2240|1090-2392|1964|uuuu|0|
Cuad Med Soc|Cuadernos medicos-sociales|0006253|0716-1336||1960|uuuu|0|
Curr Sociol|Current sociology. La Sociologie contemporaine|0006276|0011-3921||1952|uuuu|0|
Cutis|Cutis|0006440|0011-4162|2326-6929|1965|uuuu|0|
Notes Czechoslov Med Assoc G B|Notes. Czechoslovak Medical Association in Great Britain|0006450|||1944|1945|0|
Demografia|Demografia|0006522|0011-8249||1958|uuuu|0|
J Child Asthma Res Inst Hosp Denver|Journal. Children's Asthma Research Institute and Hospital, Denver|0006601|||1961|1961|0|
Dtsch Med Wochenschr|Deutsche medizinische Wochenschrift (1946)|0006723|0012-0472|1439-4413|1946|uuuu|0|
Dev Med Child Neurol|Developmental medicine and child neurology|0006761|0012-1622|1469-8749|1958|1961|1|Cereb Palsy Bull (16110470R) -Continued by-> Dev Med Child Neurol (0006761)
Dev Med Child Neurol Suppl|Developmental medicine and child neurology. Supplement|0006762|0419-0238|1758-9428|1962|2008|0|
Diabetologia|Diabetologia|0006777|0012-186X|1432-0428|1965|uuuu|0|
Divulg Cult Odontol|Divulgacion cultural odontologica|0007110|0070-6752||1957|1972|0|
Dusseld Arb Gesch Med|Dusseldorfer Arbeiten zur Geschichte der Medizin|0007200|0419-800X||1937|1999|0|
Econ Bot|Economic botany|0007275|0013-0001||1947|uuuu|0|
Edinb Med J|Edinburgh medical journal|0007305|0367-1038||1855|1954|0|
Entomol News|Entomological news|0007616|0013-872X||1925|uuuu|0|
Exp Mol Pathol Suppl|Experimental and molecular pathology. Supplement|0007677|0531-5522||1963|1966|0|
Gac Med Mex|Gaceta medica de Mexico|0010333|0016-3813||1864|uuuu|0|
Gastrointest Endosc|Gastrointestinal endoscopy|0010505|0016-5107|1097-6779|1961|1965|1|Bull Gastrointest Endosc (0004334) -Continued by-> Gastrointest Endosc (0010505)
Gazz Chim Ital|Gazzetta chimica Italiana|0010615|0016-5603||1871|1997|0|
Notes Queries|Notes and queries|00110640R|0029-3970||1849|uuuu|0|
Gynakol Rundsch|Gynakologische Rundschau|0011363|0017-6001||1964|1991|0|
Hahnemann Mon|Hahnemann monthly|0011620|||1866|18uu|0|
Hahnemannian|The Hahnemannian|0011622|0017-6621||1865|1990|0|
Hoja Tisiol|Hoja tisiologica|0011672|0018-3326||1941|1971|0|
Hosp (Lond 1886)|The Hospital|0012036|0267-6478||1886|1921|0|
Health Bull (Edinb)|Health bulletin|0012330|0374-8014||1941|2002|0|
Hum Dev|Human development|0012445|0018-716X|1423-0054|1958|1964|1|Vita Hum Int Z Lebensalterforsch (0166302) -Continued by-> Hum Dev (0012445)
IEEE Trans Biomed Eng|IEEE transactions on bio-medical engineering|0012737|0018-9294|1558-2531|1964|uuuu|0|
Isr J Chem|Israel journal of chemistry|0013103|0021-2148|1869-5868|1963|uuuu|0|
Isr J Exp Med|Israel journal of experimental medicine|0013104|0535-806X||1956|1964|1|Bull Res Counc Isr Sect E Exp Med (7509361) -Continued by-> Isr J Exp Med (0013104)
Indian J Anaesth|Indian journal of anaesthesia|0013243|0019-5049|0976-2817|1953|uuuu|0|
Indian J Hosp Pharm|The Indian journal of hospital pharmacy|0013252|0019-526X||1964|uuuu|0|
Indian J Psychiatry|Indian journal of psychiatry|0013255|0019-5545|1998-3794|1958|uuuu|0|
Indian Phytopathol|Indian phytopathology|0013260|0367-973X|2248-9800|1948|uuuu|0|
Indian Psychol Rev|Indian psychological review|0013262|0019-6215||1964|uuuu|0|
Int J Comp Sociol|International journal of comparative sociology|0013576|0020-7152||1960|uuuu|0|
J Clin|Jornal dos clinicos|0013615|||1920|1945|0|
Int J Sex Econ Orgone Res|International journal of sex-economy and orgone-research|0013665|||1942|1945|0|
J Radiol Electrol Arch Electr Medicale|Journal de radiologie, d'electrologie & archives d'electricite medicale|0013747|||1947|1957|0|
J Abnorm Soc Psychol|Journal of abnormal and social psychology|0014016|0096-851X||1925|1964|0|
J Aud Res|The Journal of auditory research|0014024|0021-9177||1960|1987|0|
J Bone Joint Surg Am|The Journal of bone and joint surgery. American volume|0014030|0021-9355|1535-1386|1948|uuuu|0|
J Hist Ideas|Journal of the history of ideas|00140360R|0022-5037|1086-3222|1940|uuuu|0|
J Existent|Journal of existentialism|0014050|0449-2498||1964|1968|0|
J Exp Educ|Journal of experimental education|0014051|0022-0973|1940-0683|1932|uuuu|0|
J Food Sci|Journal of food science|0014052|0022-1147|1750-3841|1936|1960|1|Food Res (0027704) -Continued by-> J Food Sci (0014052)
J Heterocycl Chem|Journal of heterocyclic chemistry|0014060|0022-152X||1964|uuuu|0|
J Invertebr Pathol|Journal of invertebrate pathology|0014067|0022-2011|1096-0805|1965|uuuu|0|
Klin Monbl Augenheilkd|Klinische Monatsblatter fur Augenheilkunde|0014133|0023-2165|1439-3999|1963|uuuu|0|
J Music Ther|Journal of music therapy|0014162|0022-2917|2053-7395|1964|uuuu|0|
J Osteopath (Kirksvill)|The Journal of osteopathy|0014167|||1894|1964|0|
J Pers Soc Psychol|Journal of personality and social psychology|0014171|0022-3514|1939-1315|1965|uuuu|0|
J Public Health Dent|Journal of public health dentistry|0014207|0022-4006|1752-7325|1965|uuuu|0|
J Res Crime Delinq|The Journal of research in crime and delinquency|0014210|0022-4278||1964|uuuu|0|
Juv Med|La Juventud medica|0014405|||1899|1953|0|
Lahey Clin Bull|The Lahey Clinic bulletin|0015312|0099-815X||1938|1964|0|
Lond Hosp Gaz|The London Hospital gazette|0015362|0024-6050||1894|1975|0|
Lamp|The Lamp|0015376|0047-3936||1944|uuuu|0|
Magy Noorv Lapja|Magyar noorvosok lapja|0016262|0025-021X||1938|uuuu|0|
Medico (Eur)|Medico; Europa Ausg|0016603|||1963|1964|0|
Medico (Int)|Medico; international ed|0016604|||1963|1968|0|
Med Surg Suggest|Medico-surgical suggestions|0016621|||1932|1945|0|
Bull Mass Dent Soc|Bulletin. Massachusetts Dental Society|0017036|||1924|1947|0|
Mex Farm|Mexico farmacetico|0017172|||1935|1965|0|
Med Br (Lond)|Medica Britannica|0017240|||1961|1965|0|
Med Abstr|Medical abstracts|0017241|||1944|1945|0|
Mich Med|Michigan medicine|0017314|0026-2293||1902|1964|1|J Mich State Med Soc (7503038) -Continued by-> Mich Med (0017314)
Med Press|The Medical press|0017457|||1866|1961|0|
Mikrochemie|Mikrochemie|0017501|0369-0261||1923|1938|0|
Militaerlaegen|Militaerlaegen|0017523|0026-3834||1893|1971|0|
Med Way|The Medical way|0017615|||1944|1961|0|
Preconf Papers Natl Dent Health Conf (U S)|[Preconference papers]. National Dental Health Conference|0020066|||195u|1979|0|
Ber Naturforsch Ges Freibg Br|Berichte. Naturforschende Gesellschaft zu Freiburg i. B|0020267|||1885|uuuu|0|
Nauchnye Doki Vyss Shkoly Biol Nauki|Nauchnye doklady vysshei shkoly. Biologicheskie nauki|0020417|0470-4606||1958|1993|0|
Neuropsychologia|Neuropsychologia|0020713|0028-3932|1873-3514|1963|uuuu|0|
Now Lekarskie Organ Wydz Lekarskiego Tow Przyj Nauk Posnanskiego|Nowiny lekarskie : organ Wydzialu Lekarskiego Towarzystwa Przyjaciol Nauk Posnanskiego|0021114|0860-7397||1889|uuuu|0|
Occup Health (Lond)|Occupational health; a journal for occupational health nurses|0021263|0029-7917||1940|1951|2|Ind Hyg Newsl (17540640R) -Continued by-> Ind Health Mon (17540540R) -Continued by-> Occup Health (Lond) (0021263)
N Z Vet J|New Zealand veterinary journal|0021406|0048-0169||1952|uuuu|0|
Nice Med|Nice medical|0021417|0545-9281||1963|1975|0|
Bol Serv Nac Prot Matern Infant Peru|Boletin. Peru. Servicio Nacional de Proteccion Materno-Infantil|0022164|||1945|1uuu|0|
Osp Maggiore|L' Ospedale maggiore|0022210|0369-7843||1913|2001|0|
Otorhinolaryngol Danub|Oto-rhino-laryngologia Danubiana|0022245|||1947|19uu|0|
Padiatr Padol|Padiatrie und Padologie|0022370|0030-9338|1613-7558|1965|uuuu|0|
Pharmakotherapia|Pharmakotherapia|0022452|0553-9439||1963|1965|0|
Phys Ther|Physical therapy|0022623|0031-9023|1538-6724|1926|1963|3|Physiotherap Rev (19620710R) -Continued by-> Phys Ther Rev (19620720R) -Continued by-> J Am Phys Ther Assoc (0001556) -Continued by-> Phys Ther (0022623)
Physician's Bull|Physician's bulletin|0022635|||1926|1963|0|
Bull Inst Natl Sante Rech Med|Bulletin de l'Institut national de la sante et de la recherche medicale|0022726|0553-2469||1964|1971|0|
Supl Pract Med|Practica medica|0023124|||1943|1945|0|
Prev Med (Baltim)|Preventive medicine|0023410|||1946|1946|0|
Prikl Biokhim Mikrobiol|Prikladnaia biokhimiia i mikrobiologiia|0023416|0555-1099||1965|uuuu|0|
Postepy Biochem|Postepy biochemii|0023525|0032-5422||1955|uuuu|0|
Rev Argent Neurol Psiquiatr|Revista argentina de neurologia y psiquiatria|0023573|||1964|1964|0|
Progress Nurse|The Progressive nurse|0023627|||1962|1967|0|
Rev Cubana Estomatol|Revista cubana de estomatologia|0023661|0034-7507||1964|uuuu|0|
Rev Cuba Med Sov|Revista cubana de medicina sovietica|0023662|||1945|1945|0|
Rev Col Med Guatem|Revista del Colegio Medico de Guatemala|0023766|0413-3137||1950|1984|0|
Rev Ecuat Med Cienc Biol|Revista ecuatoriana de medicina y ciencias biologicas|0023773|0034-9313||1963|uuuu|0|
Psicotecnia|Psicotecnia|0024022|||1939|1945|0|
Psychiatr Opin|Psychiatric opinion|0024025|0033-2712||1964|1980|0|
Psychother Psychosom|Psychotherapy and psychosomatics|0024046|0033-3190|1423-0348|1953|1964|2|Acta Psychother Psychosom Orthopaedagog (101259884) -Continued by-> Acta Psychother Psychosom (0000220) -Continued by-> Psychother Psychosom (0024046)
Public Welf|Public welfare|0024064|0033-3816||1943|1998|0|
Rem Actual|Remedes-Actualites|0024571|0484-3800||1960|1964|0|
Rev Mil Remonta Vet|Revista militar de remonta e veterinaria|0024646|||1945|1957|0|
Rev Odontostomatol Midi Fr|Revue d'odonto-stomatologie du midi de la France|0024724|0035-2470||1965|1985|0|
Rev Fr Prothese Dent|La Revue francaise de la prothese dentaire|0024731|0048-8089||1964|1979|0|
Rev Int Criminol Police Tech|Revue internationale de criminologie et de police technique|0024737|0035-3329||1953|uuuu|0|
Biulleten Russ SFSR Minist Zdravookhraneniia Uchenyi Meditsinskii sov|Biulleten'. Russian S.F.S.R. Ministerstvo Zdravookhraneniia. Uchenyi meditsinskii sovet|0025435|||1960|1962|0|
Bol Hosp Sanat Peral Santiago Chile|Boletin. Hospital-Sanatorio "El Peral", Santiago de Chile|0025654|||1941|1954|0|
Schweiz Bl Krankenpfl|Schweizerische Blatter fur Krankenpflege. Revue suisse des infirmieres|0026222|||1945|1961|0|
Sciences|Sciences|0026247|||1936|1952|0|
Sci Pharm|Scientia pharmaceutica|0026251|0036-8709|2218-0532|1930|uuuu|0|
Skandinavisk Vet Tidsskr Bakteriol Patol Samt Kjottoch Mjokhygienen|Skandinavisk veterinar-tidsskrift for bakteriologi, patologi, samt kjottoch mjolkhygienen|0026740|||1911|1948|0|
Rev Soc Colomb Ortod|Revista. Sociedad Colombiana de Ortodoncia|0027050|||1963|1966|0|
An Soc Mex Oftalmol Otorinolaringol|Anales. Sociedad Mexicana de Oftalmologia y Oto-rino-laringologia|0027065|||1920|1945|0|
Bull Soc Ophtalmol Paris Soc Ophtalmol Est Lyon Ouest|Bulletin de la Societe d'ophtalmologie de Paris et des societes d'ophtalmologie de l'Est, de Lyon et de l'Ouest. Societe d'ophtalmologie de Paris|0027133|||1888|1948|0|
Sociologus|Sociologus; Zeitschrift fur empirische Soziologie, sozialpsychologische und ethnologische Forschung. A Journal for empirical sociology, social psychology, and ethnic research|0027176|0038-0377||1951|uuuu|0|
Glas Srp Akad Nauka Med|Glas. Srpska akademija nauka i umetnosti. Odeljenje medicinskih nauka|0027437|0371-4039||1960|uuuu|0|
Srp Arh Celok Lek|Srpski arhiv za celokupno lekarstvo|0027440|0370-8179||19uu|uuuu|0|
Lakartidningen|Lakartidningen|0027707|0023-7205|1652-7518|1965|uuuu|0|
Sven Lakartidn|Svenska lakartidningen|0030130|||1920|1964|0|
Union Med Can|L'union medicale du Canada|0030444|0041-6959||1872|1995|0|
Veska|Veska|0031153|||1937|1979|0|
Vet Rec|The Veterinary record|0031164|0042-4900|2042-7670|1888|uuuu|0|
VINA Q|Vina quarterly|0031221|0049-6464||1964|1967|0|
West Drug (Vanc)|The Western druggist|0031315|0700-7248||1932|1964|0|
War Med (Chic 1941)|War medicine|0031333|0096-5634||1941|1945|0|
Zool. Pol.|Zoologica Poloniae|0031350|0044-510X||1935|uuuu|0|
Zool Anz|Zoologischer Anzeiger|0031351|0044-5231||1878|uuuu|0|
Tech Sanit Munic|La technique sanitaire et municipale|0031517|0767-9599||1906|1945|0|
Tijdschr Diergeneeskd|Tijdschrift voor diergeneeskunde|0031550|0040-7453||1916|uuuu|0|
Zhonghua Yi Xue Za Zhi|Zhonghua yi xue za zhi|0031651|||1932|1959|0|
Tijdschr Voor Ziekenverpl|Tijdschrift voor ziekenverpleging|0032101|||1914|1963|0|
Bull U S Army Med Dep|Bulletin of the U.S. Army Medical Department. United States. Army Medical Department|0032166|||1943|1949|0|
Tech Rep SAM-TR|[Technical report] SAM-TR. USAF School of Aerospace Medicine|0032306|||1964|1980|0|
AMRL TR|AMRL-TR. Aerospace Medical Research Laboratories (6570th)|0032311|||196u|1977|0|
Univ Pa Med Bull|University of Pennsylvania medical bulletin|0032342|0500-6112||1901|1911|0|
Urol Nefrol (Mosk)|Urologiia i nefrologiia|0032352|0042-1154||1923|1999|1|Urol Mosc (0032351) -Continued by-> Urol Nefrol (Mosk) (0032352)
Bull Vanc Med Assoc|Bulletin. Vancouver Medical Association|0032450|||1924|1958|0|
Vital Health Stat 21|Vital and health statistics. Series 21, Data from the National Vital Statistics System|0032510|0083-2030||1964|1989|0|
Vutr Boles|Vutreshni bolesti|0032666|0506-2772||1962|200u|0|
Worlds Poult Sci J|World's poultry science journal|0033040|0043-9339||1945|uuuu|0|
Z Wiss Zool|Zeitschrift fur wissenschartliche Zoologie|0033325|||1848|1973|0|
Z Unfallmed Berufskr|Zeitschrift fur Unfallmedizin und Berufskrankheiten. Revue de medecine des accidents et des maladies professionelles|0033334|0044-3603||1935|1982|0|
Z Mensch Vererb Konstitutionsl|Zeitschrift fur menschliche Vererbungs- und Konstitutionslehre|0033356|||1935|1964|0|
Z Immun exp ther|Zeitschrift fur Immunitatsforschung und experimentelle Therapie|0033360|||1908|1962|0|
Z Gastroenterol|Zeitschrift fur Gastroenterologie|0033370|0044-2771|1439-7803|1963|uuuu|0|
Z Anorg Allg Chem|Zeitschrift fur anorganische und allgemeine Chemie|0033401|0044-2313|1521-3749|1950|uuuu|0|
Certif Dent Tech|Certified dental technician|0033473|||1963|1967|0|
Cuad Hist Salud Publica|Cuadernos de historia de la salud publica|0033567|0045-9178||1961|uuuu|0|
Dtsch Tierarztl Wochenschr|Deutsche tierarztliche Wochenschrift|0033620|0012-0847||1946|1970|0|
Electrodiagn Ther|Electrodiagnostic-Therapie|0033671|0424-8120||1964|1981|0|
Estomatologia|Estomatologia|0033754|0014-1356||1963|1966|0|
Ethnographie.|L' Ethnographie|0033760|||1913|1979|0|
Excerpta Med|Excerpta medica|0033776|||1891|1927|0|
Exp Med Pathol Klin|Experimentelle Medizin, Pathologie und Klinik|0034007|0071-3430||1964|1972|0|
Fachbl Schweiz Anst|Fachblatt fur schweizerisches Anstaltswesen. Revue suisse des etablissements hospitaliers|0034027|||1937|1945|0|
Gaz Med Fr|Gazette medicale de France|0034270|0016-5557||1927|1983|0|
Harefuah|Harefuah|0034351|0017-7768||1924|uuuu|0|
J Abnorm Psychol|Journal of abnormal psychology|0034461|0021-843X|1939-1846|1965|uuuu|0|
Med Bull|The Medical bulletin|0034640|||1911|1964|0|
Tidskr Mil Halsov|Tidskrift i militar halsovard|0034745|||1876|1964|0|
Wistar Inst Symp Monogr|The Wistar Institute symposium monograph|0035247|0084-1013||1964|1969|0|
Wildl Dis|Wildlife disease|0035301|0043-5465||1959|1977|0|
Ziekenhuiswezen|Het Ziekenhuiswezen|0035477|||1928|1970|0|
Toulouse Med|Toulouse medical|0035523|0372-042X||1899|1964|0|
Mol Pharmacol|Molecular pharmacology|0035623|0026-895X|1521-0111|1965|uuuu|0|
Caridad Cienc Arte|Caridad, ciencia y arte|0035654|0069-0546||1963|1976|0|
Neuroendocrinology|Neuroendocrinology|0035665|0028-3835|1423-0194|1965|uuuu|0|
Mod Trends Orthop|Modern trends in orthopaedics|0035777|0077-0159||1950|1972|0|
Vopr Biokhim Mozga|Voprosy biokhimii mozga|0036162|0507-2972||1964|1980|0|
BNWL Rep|BNWL [reports]. U.S. Atomic Energy Commission|0036320|||1965|1977|0|
Factotum|Factotum|0036410|||1934|uuuu|0|
Ser Paedopsychiatr|Series paedopsychiatrica|0036662|0080-9012||1965|1985|0|
Vital Health Stat 4|Vital and health statistics. Ser. 4: Documents and committee reports|0036665|0083-2073||1965|uuuu|0|
Prog Biochem Pharmacol|Progress in biochemical pharmacology|0036761|0079-6085||1965|1990|0|
Pak J Med Res|Pakistan journal of medical research|0037013|0030-9842||1958|uuuu|0|
Rev Med Latinoam|Revista medica latino-americana|0037035|||1924|1945|0|
Rev Med Xalapena|Revista medica xalapena|0037112|||1940|19uu|0|
Rev Stomatoodontol Nord Fr|La Revue stomato-odontologique du nord de la France|0037125|0035-4147||1946|1976|0|
Rev Odontol (Trujillo)|Revista odontologica|0037177|||1945|1945|0|
Hazard Control Qual Rep|Hazards control quarterly report|0037206|||1960|uuuu|0|
East Anthropol|The Eastern anthropologist|0037265|0012-8686||1947|uuuu|0|
Daedalus|Daedalus|0037276|0011-5266||1955|uuuu|0|
Acta Leprol|Acta leprologica|0037353|0001-5938||1960|200u|0|
Hosp Adm (New Delhi)|Hospital administration|0037362|0018-5531||1964|uuuu|0|
Abdom Surg|Abdominal surgery|0037504|0196-4615||1959|1965|1|J Abdom Surg (17830150R) -Continued by-> Abdom Surg (0037504)
Adv Drug Res|Advances in drug research|0040021|0065-2490||1964|1997|0|
Adv Pharm Sci|Advances in pharmaceutical sciences|0040024|0065-3136||1964|uuuu|0|
J Jew Communal Serv|Journal of Jewish communal service|0040373|0022-2089||1956|uuuu|0|
Arch Vet Ital|Archivio veterinario italiano|0040527|0004-0479||1950|1997|0|
Quad Sclavo Diagn|Quaderni Sclavo di diagnostica clinica e di laboratorio|0040616|0033-4979||1965|1988|0|
Ann Biol Anim Biochim Biophys|Annales de biologie animale, biochimie, biophysique|0040752|0003-388X||1961|1979|0|
Bull Statec|Bulletin du STATEC. Luxembourg. Service central de la statistique et des etudes economiques|0041135|0076-1583||1962|uuuu|0|
Bol Dep Med Seguro Social Ecuat|Boletin. Ecuador. Departamento Medico del Seguro Social Ecuatoriano|0041265|||1937|1965|0|
Neurol India|Neurology India|0042005|0028-3886|1998-4022|1964|uuuu|0|
Nurs Clin North Am|The Nursing clinics of North America|0042033|0029-6465|1558-1357|1966|uuuu|0|
Infirm Can|L' Infirmiere canadienne|0042116|0019-9605||1959|1985|0|
Int J Cancer|International journal of cancer. Journal international du cancer|0042124|0020-7136|1097-0215|1966|1999|1|Radiat Oncol Investig (9437448) -Absorbed By-> Int J Cancer (0042124)
Alaska Nurse|The Alaska nurse|0042336|0002-4546||1951|uuuu|0|
Appl. Biochem. Microbiol.|Applied biochemistry and microbiology|0042510|0003-6838||1965|uuuu|0|
Contemp Psychoanal|Contemporary psychoanalysis|0042624|0010-7530||1964|uuuu|0|
Cesk Gynekol|Ceskoslovenska gynekologie|0042671|0374-6852||1936|1993|0|
Psychol Sch|Psychology in the schools|0042715|0033-3085||1964|uuuu|0|
Acta Sociol|Acta sociologica|0042767|0001-6993||1955|uuuu|0|
J Colloid Interface Sci|Journal of colloid and interface science|0043125|0021-9797|1095-7103|1946|1965|1|J Colloid Sci (17840210R) -Continued by-> J Colloid Interface Sci (0043125)
Adv Study Behav|Advances in the study of behavior|0043147|0065-3454||1965|uuuu|0|
Rev Allergy|Review of allergy|0043154|0034-6411||1966|1971|0|
Hosp Pharm|Hospital pharmacy|0043175|0018-5787|1945-1253|1966|uuuu|0|
Speculum|Speculum|0043264|0038-7134||1926|uuuu|0|
Essays Biochem|Essays in biochemistry|0043306|0071-1365|1744-1358|1965|uuuu|0|
Exp Brain Res|Experimental brain research|0043312|0014-4819|1432-1106|1966|uuuu|0|
Rev Hist Art Dent|Revue d'histoire de l'art dentaire|0043441|||1962|1978|0|
Acta Clin Belg Suppl|Acta clinica Belgica. Supplementum|0043523|0567-7386||1965|uuuu|0|
Int Surg|International surgery|0043524|0020-8868||1938|1965|1|J Int Coll Surg (7507208) -Continued by-> Int Surg (0043524)
Anesth Prog|Anesthesia progress|0043533|0003-3006||1958|1965|1|J Am Dent Soc Anesthesiol (7505572) -Continued by-> Anesth Prog (0043533)
Carbohydr Res|Carbohydrate research|0043535|0008-6215|1873-426X|1965|uuuu|0|
Ecology|Ecology|0043541|0012-9658||1920|uuuu|0|
Actual Pharm|Actualites pharmaceutiques|0043545|0515-3700||1961|uuuu|0|
Res Prog Org Biol Med Chem|Research progress in organic, biological and medicinal chemistry|0043605|0486-5111||1964|1972|0|
Stud Philol|Studies in philology|0043732|0039-3738||1906|uuuu|0|
Helminthologia|Helminthologia|0043764|0440-6605||1959|uuuu|0|
Wehrmed Monatsschr|Wehrmedizinische Monatsschrift|0044034|0043-2156||1957|1964|1|Wehrmed Mitt (0114367) -Continued by-> Wehrmed Monatsschr (0044034)
Vital Health Stat 20|Vital and health statistics. Series 20, Data from the National Vital Statistics System|0044071|0083-2022||1965|uuuu|0|
World Med|World medicine|0044272|0043-8669||1965|1984|0|
